a	a 1
nhây	ɲ ɤ̆ j 1
nhấy	ɲ ɤ̆ j 5
nhầy	ɲ ɤ̆ j 2
nhẫy	ɲ ɤ̆ j 3
nhẩy	ɲ ɤ̆ j 4
nhậy	ɲ ɤ̆ j 6
nhảy	ɲ ă j 4
nhạy	ɲ ă j 6
nhe	ɲ ɛ 1
nhé	ɲ ɛ 5
nhè	ɲ ɛ 2
nhê	ɲ e 1
nhễ	ɲ e 3
nhể	ɲ e 4
nhẽ	ɲ ɛ 3
nhẹ	ɲ ɛ 6
nhếch	ɲ e tʃ 5
nhệch	ɲ e tʃ 6
nhem	ɲ ɛ m 1
nhém	ɲ ɛ m 5
nhèm	ɲ ɛ m 2
nhẻm	ɲ ɛ m 4
nhẹm	ɲ ɛ m 6
nhen	ɲ ɛ n 1
nhén	ɲ ɛ n 5
nhèn	ɲ ɛ n 2
nhện	ɲ e n 6
nhẹn	ɲ ɛ n 6
nhênh	ɲ e ɲ 1
nhếnh	ɲ e ɲ 5
nhềnh	ɲ e ɲ 2
nheo	ɲ eo 1
nhéo	ɲ eo 5
nhèo	ɲ eo 2
nhẽo	ɲ eo 3
nhẻo	ɲ eo 4
nhẹo	ɲ eo 6
nhép	ɲ ɛ p 5
nhẹp	ɲ ɛ p 6
nhét	ɲ ɛ t 5
nhết	ɲ e t 5
nhệt	ɲ e t 6
nhẹt	ɲ ɛ t 6
nhếu	ɲ ɛu 5
nhểu	ɲ ɛu 4
nhệu	ɲ ɛu 6
nhi	ɲ i 1
nhí	ɲ i 5
nhì	ɲ i 2
nhĩ	ɲ i 3
nhỉ	ɲ i 4
nhị	ɲ i 6
nhía	ɲ iə 5
nhích	ɲ i tʃ 5
nhiếc	ɲ iə k 5
nhiễm	ɲ iə m 3
nhiệm	ɲ iə m 6
nhiên	ɲ iə n 1
nhiễn	ɲ iə n 3
nhiếp	ɲ iə p 5
nhiệt	ɲ iə t 6
nhiêu	ɲ iə w 1
nhiều	ɲ iə w 2
nhiễu	ɲ iə w 3
nhiệu	ɲ iə w 6
nhím	ɲ i m 5
nhín	ɲ i n 5
nhìn	ɲ i n 2
nhịn	ɲ i n 6
nhinh	ɲ i ɲ 1
nhính	ɲ i ɲ 5
nhỉnh	ɲ i ɲ 4
nhíp	ɲ i p 5
nhịp	ɲ i p 6
nhít	ɲ i t 5
nhịt	ɲ i t 6
nhiu	ɲ i w 1
nhíu	ɲ i w 5
nhỉu	ɲ i w 4
nhịu	ɲ i w 6
nho	ɲ ɔ 1
nhó	ɲ ɔ 5
nhò	ɲ ɔ 2
nhô	ɲ o 1
nhố	ɲ o 5
nhổ	ɲ o 4
nhõ	ɲ ɔ 3
nhỏ	ɲ ɔ 4
nhọ	ɲ ɔ 6
nhơ	ɲ ɤ 1
nhớ	ɲ ɤ 5
nhờ	ɲ ɤ 2
nhỡ	ɲ ɤ 3
nhở	ɲ ɤ 4
nhợ	ɲ ɤ 6
nhóa	ɲw ʷa 5
nhòa	ɲw ʷa 2
nhoai	ɲw a j 1
nhoài	ɲw a j 2
nhoàm	ɲw ʷa m 2
nhoang	ɲw ʷa ŋ 1
nhoáng	ɲw ʷa ŋ 5
nhoàng	ɲw ʷa ŋ 2
nhoằng	ɲw ʷă ŋ 2
nhoạng	ɲw ʷa ŋ 6
nhoay	ɲw ă j 1
nhoáy	ɲw ă j 5
nhóc	ɲ ɔ k͡p 5
nhốc	ɲ o k͡p 5
nhọc	ɲ ɔ k͡p 6
nhoe	ɲw ʷɛ 1
nhóe	ɲw ʷɛ 5
nhòe	ɲw ʷɛ 2
nhoen	ɲw ʷɛ n 1
nhoèn	ɲw ʷɛ n 2
nhoẻn	ɲw ʷɛ n 4
nhoét	ɲw ʷɛ t 5
nhoẹt	ɲw ʷɛ t 6
nhoi	ɲ ɔ j 1
nhói	ɲ ɔ j 5
nhòi	ɲ ɔ j 2
nhôi	ɲ o j 1
nhối	ɲ o j 5
nhồi	ɲ o j 2
nhội	ɲ o j 6
nhõi	ɲ ɔ j 3
nhơi	ɲ ɤ j 1
nhời	ɲ ɤ j 2
nhởi	ɲ ɤ j 4
nhom	ɲ ɔ m 1
nhóm	ɲ ɔ m 5
nhòm	ɲ ɔ m 2
nhôm	ɲ o m 1
nhồm	ɲ o m 2
nhổm	ɲ o m 4
nhộm	ɲ o m 6
nhõm	ɲ ɔ m 3
nhỏm	ɲ ɔ m 4
nhơm	ɲ ɤ m 1
nhớm	ɲ ɤ m 5
nhờm	ɲ ɤ m 2
nhởm	ɲ ɤ m 4
nhon	ɲ ɔ n 1
nhón	ɲ ɔ n 5
nhôn	ɲ o n 1
nhốn	ɲ o n 5
nhồn	ɲ o n 2
nhổn	ɲ o n 4
nhộn	ɲ o n 6
nhõn	ɲ ɔ n 3
nhỏn	ɲ ɔ n 4
nhọn	ɲ ɔ n 6
nhơn	ɲ ɤ n 1
nhớn	ɲ ɤ n 5
nhờn	ɲ ɤ n 2
nhỡn	ɲ ɤ n 3
nhởn	ɲ ɤ n 4
nhợn	ɲ ɤ n 6
nhong	ɲ ɔ ŋ͡m 1
nhóng	ɲ ɔ ŋ͡m 5
nhòng	ɲ ɔ ŋ͡m 2
nhông	ɲ o ŋ͡m 1
nhồng	ɲ o ŋ͡m 2
nhổng	ɲ o ŋ͡m 4
nhộng	ɲ o ŋ͡m 6
nhõng	ɲ ɔ ŋ͡m 3
nhỏng	ɲ ɔ ŋ͡m 4
nhóp	ɲ ɔ p 5
nhốp	ɲ o p 5
nhớp	ɲ ɤ p 5
nhợp	ɲ ɤ p 6
nhót	ɲ ɔ t 5
nhốt	ɲ o t 5
nhột	ɲ o t 6
nhọt	ɲ ɔ t 6
nhớt	ɲ ɤ t 5
nhợt	ɲ ɤ t 6
nhu	ɲ u 1
nhú	ɲ u 5
nhù	ɲ u 2
nhũ	ɲ u 3
nhủ	ɲ u 4
nhụ	ɲ u 6
như	ɲ ɯ 1
nhứ	ɲ ɯ 5
nhừ	ɲ ɯ 2
nhữ	ɲ ɯ 3
nhử	ɲ ɯ 4
nhự	ɲ ɯ 6
nhúa	ɲ uə 5
nhụa	ɲ uə 6
nhựa	ɲ ɯə 6
nhuần	ɲw ʷɤ̆ n 2
nhuận	ɲw ʷɤ̆ n 6
nhúc	ɲ u k͡p 5
nhục	ɲ u k͡p 6
nhức	ɲ ɯ k 5
nhuế	ɲw ʷe 5
nhuệ	ɲw ʷe 6
nhui	ɲ u j 1
nhúi	ɲ u j 5
nhùi	ɲ u j 2
nhủi	ɲ u j 4
nhụi	ɲ u j 6
nhum	ɲ u m 1
nhúm	ɲ u m 5
nhũm	ɲ u m 3
nhun	ɲ u n 1
nhún	ɲ u n 5
nhùn	ɲ u n 2
nhũn	ɲ u n 3
nhủn	ɲ u n 4
nhưn	ɲ ɯ n 1
nhung	ɲ u ŋ͡m 1
nhúng	ɲ u ŋ͡m 5
nhùng	ɲ u ŋ͡m 2
nhũng	ɲ u ŋ͡m 3
nhủng	ɲ u ŋ͡m 4
nhụng	ɲ u ŋ͡m 6
nhưng	ɲ ɯ ŋ 1
những	ɲ ɯ ŋ 3
nhuốc	ɲ uə k 5
nhược	ɲ ɯə k 6
nhuôm	ɲ uə m 1
nhuốm	ɲ uə m 5
nhuồm	ɲ uə m 2
nhuộm	ɲ uə m 6
nhuôn	ɲ uə n 1
nhuồn	ɲ uə n 2
nhuộn	ɲ uə n 6
nhướn	ɲ ɯə n 5
nhương	ɲ ɯə ŋ 1
nhướng	ɲ ɯə ŋ 5
nhường	ɲ ɯə ŋ 2
nhưỡng	ɲ ɯə ŋ 3
nhượng	ɲ ɯə ŋ 6
nhướp	ɲ ɯə p 5
nhuốt	ɲ uə t 5
nhút	ɲ u t 5
nhụt	ɲ u t 6
nhứt	ɲ ɯ t 5
nhựt	ɲ ɯ t 6
nhụy	ɲ u j 6
nhuyễn	ɲw ʷiə n 3
ni	n i 1
ní	n i 5
nì	n i 2
nỉ	n i 4
nị	n i 6
nia	n iə 1
nĩa	n iə 3
ních	n i tʃ 5
nịch	n i tʃ 6
niêm	n iə m 1
niềm	n iə m 2
niệm	n iə m 6
niên	n iə n 1
niền	n iə n 2
niếng	n iə ŋ 5
niềng	n iə ŋ 2
niễng	n iə ŋ 3
niết	n iə t 5
niêu	n iə w 1
niệu	n iə w 6
nin	n i n 1
nín	n i n 5
ninh	n i ɲ 1
nính	n i ɲ 5
nình	n i ɲ 2
nịnh	n i ɲ 6
níp	n i p 5
nít	n i t 5
nịt	n i t 6
niu	n i w 1
níu	n i w 5
nịu	n i w 6
no	n ɔ 1
nó	n ɔ 5
nò	n ɔ 2
nô	n o 1
nố	n o 5
nồ	n o 2
nỗ	n o 3
nổ	n o 4
nộ	n o 6
nõ	n ɔ 3
nỏ	n ɔ 4
nọ	n ɔ 6
nơ	n ɤ 1
nớ	n ɤ 5
nờ	n ɤ 2
nỡ	n ɤ 3
nở	n ɤ 4
nợ	n ɤ 6
noãn	nw ʷa n 3
noạn	nw ʷa n 6
nóc	n ɔ k͡p 5
nốc	n o k͡p 5
nộc	n o k͡p 6
nọc	n ɔ k͡p 6
noi	n ɔ j 1
nói	n ɔ j 5
nòi	n ɔ j 2
nôi	n o j 1
nối	n o j 5
nồi	n o j 2
nỗi	n o j 3
nổi	n o j 4
nội	n o j 6
nỏi	n ɔ j 4
nơi	n ɤ j 1
nới	n ɤ j 5
nởi	n ɤ j 4
nom	n ɔ m 1
nòm	n ɔ m 2
nôm	n o m 1
nồm	n o m 2
nộm	n o m 6
nỏm	n ɔ m 4
nơm	n ɤ m 1
nờm	n ɤ m 2
nỡm	n ɤ m 3
non	n ɔ n 1
nón	n ɔ n 5
nôn	n o n 1
nộn	n o n 6
nõn	n ɔ n 3
nọn	n ɔ n 6
nong	n ɔ ŋ͡m 1
nóng	n ɔ ŋ͡m 5
nòng	n ɔ ŋ͡m 2
nông	n o ŋ͡m 1
nống	n o ŋ͡m 5
nồng	n o ŋ͡m 2
nỗng	n o ŋ͡m 3
nổng	n o ŋ͡m 4
nọng	n ɔ ŋ͡m 6
nóp	n ɔ p 5
nốp	n o p 5
nộp	n o p 6
nớp	n ɤ p 5
nợp	n ɤ p 6
nót	n ɔ t 5
nốt	n o t 5
nột	n o t 6
nọt	n ɔ t 6
nớt	n ɤ t 5
nu	n u 1
nú	n u 5
nụ	n u 6
nư	n ɯ 1
nữ	n ɯ 3
nự	n ɯ 6
nua	n uə 1
nủa	n uə 4
nưa	n ɯə 1
nứa	n ɯə 5
nữa	n ɯə 3
nửa	n ɯə 4
nựa	n ɯə 6
núc	n u k͡p 5
nục	n u k͡p 6
nức	n ɯ k 5
nực	n ɯ k 6
nuê	nw ʷe 1
nui	n u j 1
núi	n u j 5
nùi	n u j 2
num	n u m 1
núm	n u m 5
nùn	n u n 2
nung	n u ŋ͡m 1
núng	n u ŋ͡m 5
nùng	n u ŋ͡m 2
nũng	n u ŋ͡m 3
nưng	n ɯ ŋ 1
nứng	n ɯ ŋ 5
nừng	n ɯ ŋ 2
nững	n ɯ ŋ 3
nựng	n ɯ ŋ 6
nuốc	n uə k 5
nuộc	n uə k 6
nước	n ɯə k 5
nược	n ɯə k 6
nuôi	n uə j 1
nuối	n uə j 5
nươi	n ɯə j 1
nuốm	n uə m 5
nườm	n ɯə m 2
nuông	n uə ŋ 1
nương	n ɯə ŋ 1
nướng	n ɯə ŋ 5
nường	n ɯə ŋ 2
nượp	n ɯə p 6
nuốt	n uə t 5
nuột	n uə t 6
nướu	n ɯə w 5
núp	n u p 5
nút	n u t 5
nụt	n u t 6
nứt	n ɯ t 5
nuy	nw ʷi 1
ny	n i 1
nỷ	n i 4
o	ɔ 1
ó	ɔ 5
ò	ɔ 2
ô	o 1
ố	o 5
ồ	o 2
ổ	o 4
ọ	ɔ 6
ơ	ɤ 1
ớ	ɤ 5
ờ	ɤ 2
ở	ɤ 4
ợ	ɤ 6
oa	w ʷa 1
òa	w ʷa 2
oác	w ʷa k 5
oạc	w ʷa k 6
oách	w ʷa tʃ 5
oạch	w ʷa tʃ 6
oai	w a j 1
oái	w a j 5
oài	w a j 2
oải	w a j 4
oại	w a j 6
oàm	w ʷa m 2
oăm	w ʷă m 1
oan	w ʷa n 1
oán	w ʷa n 5
oăn	w ʷă n 1
oằn	w ʷă n 2
oẳn	w ʷă n 4
oản	w ʷa n 4
oang	w ʷa ŋ 1
oàng	w ʷa ŋ 2
oăng	w ʷă ŋ 1
oẳng	w ʷă ŋ 4
oặng	w ʷă ŋ 6
oanh	w ʷa ɲ 1
oánh	w ʷa ɲ 5
oành	w ʷa ɲ 2
oảnh	w ʷa ɲ 4
oáp	w ʷa p 5
oạp	w ʷa p 6
oát	w ʷa t 5
oắt	w ʷă t 5
oặt	w ʷă t 6
óc	ɔ k͡p 5
ốc	o k͡p 5
ộc	o k͡p 6
ọc	ɔ k͡p 6
oe	w ʷɛ 1
óe	w ʷɛ 5
ỏe	w ʷɛ 4
ọe	w ʷɛ 6
oéc	w ʷɛ k 5
oeng	w ʷɛ ŋ 1
oeo	w e w 1
oèo	w e w 2
oét	w ʷɛ t 5
oi	ɔ j 1
ói	ɔ j 5
òi	ɔ j 2
ôi	o j 1
ối	o j 5
ồi	o j 2
ổi	o j 4
ỏi	ɔ j 4
ọi	ɔ j 6
ơi	ɤ j 1
ới	ɤ j 5
ời	ɤ j 2
ợi	ɤ j 6
om	ɔ m 1
òm	ɔ m 2
ôm	o m 1
ốm	o m 5
ồm	o m 2
ỏm	ɔ m 4
ớm	ɤ m 5
ỡm	ɤ m 3
on	ɔ n 1
òn	ɔ n 2
ôn	o n 1
ồn	o n 2
ổn	o n 4
ộn	o n 6
ỏn	ɔ n 4
ơn	ɤ n 1
ớn	ɤ n 5
ong	ɔ ŋ͡m 1
óng	ɔ ŋ͡m 5
òng	ɔ ŋ͡m 2
ông	o ŋ͡m 1
ống	o ŋ͡m 5
ồng	o ŋ͡m 2
ổng	o ŋ͡m 4
õng	ɔ ŋ͡m 3
ỏng	ɔ ŋ͡m 4
óp	ɔ p 5
ốp	o p 5
ộp	o p 6
ọp	ɔ p 6
ớp	ɤ p 5
ót	ɔ t 5
ốt	o t 5
ọt	ɔ t 6
ớt	ɤ t 5
ợt	ɤ t 6
ơu	 ' u
pa	p a 1
pà	p a 2
pả	p a 4
pác	p a k 5
pắc	p ă k 5
pan	p a n 1
păng	p ă ŋ 1
panh	p ɛ ɲ 1
pành	p ɛ ɲ 2
pao	p a w 1
páp	p a p 5
pát	p a t 5
pẩu	p ɤ̆ w 4
pê	p e 1
pen	p ɛ n 1
pềnh	p e ɲ 2
peo	p eo 1
pết	p e t 5
pha	f a 1
phá	f a 5
phà	f a 2
phả	f a 4
phác	f a k 5
phắc	f ă k 5
phạc	f a k 6
phách	f a tʃ 5
phạch	f a tʃ 6
phai	f a j 1
phái	f a j 5
phải	f a j 4
pham	f a m 1
phàm	f a m 2
phăm	f ă m 1
phầm	f ɤ̆ m 2
phẩm	f ɤ̆ m 4
phạm	f a m 6
phan	f a n 1
phán	f a n 5
phàn	f a n 2
phăn	f ă n 1
phắn	f ă n 5
phân	f ɤ̆ n 1
phấn	f ɤ̆ n 5
phần	f ɤ̆ n 2
phẫn	f ɤ̆ n 3
phẩn	f ɤ̆ n 4
phận	f ɤ̆ n 6
phản	f a n 4
phạn	f a n 6
phang	f a ŋ 1
phàng	f a ŋ 2
phăng	f ă ŋ 1
phẳng	f ă ŋ 4
phảng	f a ŋ 4
phạng	f a ŋ 6
phanh	f ɛ ɲ 1
phành	f ɛ ɲ 2
phao	f a w 1
pháo	f a w 5
phào	f a w 2
phạo	f a w 6
pháp	f a p 5
phắp	f ă p 5
phấp	f ɤ̆ p 5
phập	f ɤ̆ p 6
phát	f a t 5
phắt	f ă t 5
phất	f ɤ̆ t 5
phật	f ɤ̆ t 6
phạt	f a t 6
phau	f ă w 1
phẫu	f ɤ̆ w 3
phay	f ă j 1
pháy	f ă j 5
phây	f ɤ̆ j 1
phẫy	f ɤ̆ j 3
phẩy	f ɤ̆ j 4
phảy	f ă j 4
phe	f ɛ 1
phé	f ɛ 5
phè	f ɛ 2
phê	f e 1
phế	f e 5
phề	f e 2
phệ	f e 6
phéc	f ɛ k 5
phẹc	f ɛ k 6
phếch	f e tʃ 5
phen	f ɛ n 1
phèn	f ɛ n 2
phên	f e n 1
phền	f e n 2
phễn	f e n 3
pheng	f ɛ ŋ 1
phéng	f ɛ ŋ 5
phèng	f ɛ ŋ 2
phênh	f e ɲ 1
phềnh	f e ɲ 2
phệnh	f e ɲ 6
pheo	f eo 1
phèo	f eo 2
phép	f ɛ p 5
phét	f ɛ t 5
phết	f e t 5
phệt	f e t 6
phẹt	f ɛ t 6
phêu	f ɛu 1
phều	f ɛu 2
phễu	f ɛu 3
phệu	f ɛu 6
phi	f i 1
phí	f i 5
phì	f i 2
phĩ	f i 3
phỉ	f i 4
phị	f i 6
phía	f iə 5
phìa	f iə 2
phịa	f iə 6
phích	f i tʃ 5
phịch	f i tʃ 6
phiếm	f iə m 5
phiên	f iə n 1
phiến	f iə n 5
phiền	f iə n 2
phiện	f iə n 6
phiêng	f iə ŋ 1
phiết	f iə t 5
phiệt	f iə t 6
phiêu	f iə w 1
phiếu	f iə w 5
phiệu	f iə w 6
phim	f i m 1
phím	f i m 5
phin	f i n 1
phìn	f i n 2
phinh	f i ɲ 1
phính	f i ɲ 5
phình	f i ɲ 2
phĩnh	f i ɲ 3
phỉnh	f i ɲ 4
phít	f i t 5
phịt	f i t 6
phiu	f i w 1
phíu	f i w 5
phịu	f i w 6
pho	f ɔ 1
phó	f ɔ 5
phò	f ɔ 2
phô	f o 1
phố	f o 5
phồ	f o 2
phổ	f o 4
phõ	f ɔ 3
phơ	f ɤ 1
phớ	f ɤ 5
phờ	f ɤ 2
phở	f ɤ 4
phóc	f ɔ k͡p 5
phốc	f o k͡p 5
phọc	f ɔ k͡p 6
phoi	f ɔ j 1
phòi	f ɔ j 2
phôi	f o j 1
phối	f o j 5
phổi	f o j 4
phơi	f ɤ j 1
phới	f ɤ j 5
phởi	f ɤ j 4
phom	f ɔ m 1
phòm	f ɔ m 2
phôm	f o m 1
phồm	f o m 2
phôn	f o n 1
phồn	f o n 2
phơn	f ɤ n 1
phớn	f ɤ n 5
phỡn	f ɤ n 3
phởn	f ɤ n 4
phong	f ɔ ŋ͡m 1
phóng	f ɔ ŋ͡m 5
phòng	f ɔ ŋ͡m 2
phông	f o ŋ͡m 1
phồng	f o ŋ͡m 2
phỗng	f o ŋ͡m 3
phổng	f o ŋ͡m 4
phộng	f o ŋ͡m 6
phỏng	f ɔ ŋ͡m 4
phọng	f ɔ ŋ͡m 6
phóp	f ɔ p 5
phốp	f o p 5
phọp	f ɔ p 6
phót	f ɔ t 5
phốt	f o t 5
phọt	f ɔ t 6
phớt	f ɤ t 5
phu	f u 1
phú	f u 5
phù	f u 2
phũ	f u 3
phủ	f u 4
phụ	f u 6
phua	f uə 1
phùa	f uə 2
phứa	f ɯə 5
phựa	f ɯə 6
phúc	f u k͡p 5
phục	f u k͡p 6
phức	f ɯ k 5
phực	f ɯ k 6
phui	f u j 1
phủi	f u j 4
phun	f u n 1
phún	f u n 5
phùn	f u n 2
phừn	f ɯ n 2
phung	f u ŋ͡m 1
phúng	f u ŋ͡m 5
phùng	f u ŋ͡m 2
phủng	f u ŋ͡m 4
phụng	f u ŋ͡m 6
phưng	f ɯ ŋ 1
phừng	f ɯ ŋ 2
phước	f ɯə k 5
phược	f ɯə k 6
phướn	f ɯə n 5
phưỡn	f ɯə n 3
phương	f ɯə ŋ 1
phướng	f ɯə ŋ 5
phường	f ɯə ŋ 2
phượng	f ɯə ŋ 6
phuốt	f uə t 5
phượt	f ɯə t 6
phượu	f ɯə w 6
phụp	f u p 6
phút	f u t 5
phụt	f u t 6
phứt	f ɯ t 5
phựt	f ɯ t 6
phuy	fw ʷi 1
pi	p i 1
pí	p i 5
pia	p iə 1
pía	p iə 5
pích	p i tʃ 5
piêu	p iə w 1
pin	p i n 1
pín	p i n 5
po	p ɔ 1
pó	p ɔ 5
pô	p o 1
pơ	p ɤ 1
pôn	p o n 1
pu	p u 1
pù	p u 2
pua	p uə 1
pùa	p uə 2
pứa	p ɯə 5
pung	p u ŋ͡m 1
qua	kw a 1
quá	kw a 5
quà	kw a 2
quả	kw a 4
quạ	kw a 6
quác	kw a k 5
quắc	kw ă k 5
quặc	kw ă k 6
quấc	kw ɤ̆ k 5
quạc	kw a k 6
quách	kw a tʃ 5
quạch	kw a tʃ 6
quai	kw a j 1
quái	kw a j 5
quài	kw a j 2
quải	kw a j 4
quại	kw a j 6
quăm	kw ă m 1
quắm	kw ă m 5
quằm	kw ă m 2
quẳm	kw ă m 4
quặm	kw ă m 6
quan	kw a n 1
quán	kw a n 5
quàn	kw a n 2
quăn	kw ă n 1
quắn	kw ă n 5
quằn	kw ă n 2
quặn	kw ă n 6
quân	kw ɤ̆ n 1
quấn	kw ɤ̆ n 5
quần	kw ɤ̆ n 2
quẫn	kw ɤ̆ n 3
quẩn	kw ɤ̆ n 4
quận	kw ɤ̆ n 6
quản	kw a n 4
quang	kw a ŋ 1
quáng	kw a ŋ 5
quàng	kw a ŋ 2
quăng	kw ă ŋ 1
quẳng	kw ă ŋ 4
quặng	kw ă ŋ 6
quâng	kw ɤ̆ ŋ 1
quầng	kw ɤ̆ ŋ 2
quẩng	kw ɤ̆ ŋ 4
quãng	kw a ŋ 3
quảng	kw a ŋ 4
quạng	kw a ŋ 6
quanh	kw ɛ ɲ 1
quánh	kw ɛ ɲ 5
quành	kw ɛ ɲ 2
quạnh	kw ɛ ɲ 6
quao	kw a w 1
quáo	kw a w 5
quào	kw a w 2
quạo	kw a w 6
quắp	kw ă p 5
quặp	kw ă p 6
quát	kw a t 5
quắt	kw ă t 5
quặt	kw ă t 6
quất	kw ɤ̆ t 5
quật	kw ɤ̆ t 6
quạt	kw a t 6
quau	kw ă w 1
quáu	kw ă w 5
quàu	kw ă w 2
quạu	kw ă w 6
quay	kw ă j 1
quáy	kw ă j 5
quày	kw ă j 2
quây	kw ɤ̆ j 1
quấy	kw ɤ̆ j 5
quầy	kw ɤ̆ j 2
quẫy	kw ɤ̆ j 3
quẩy	kw ɤ̆ j 4
quậy	kw ɤ̆ j 6
quảy	kw ă j 4
quạy	kw ă j 6
que	kw ɛ 1
qué	kw ɛ 5
què	kw ɛ 2
quê	kw e 1
quế	kw e 5
quề	kw e 2
quệ	kw e 6
quẽ	kw ɛ 3
quẻ	kw ɛ 4
quéc	kw ɛ k 5
quếch	kw e tʃ 5
quệch	kw e tʃ 6
quen	kw ɛ n 1
quén	kw ɛ n 5
quèn	kw ɛ n 2
quên	kw e n 1
quến	kw e n 5
quện	kw e n 6
quẹn	kw ɛ n 6
queng	kw ɛ ŋ 1
quềnh	kw e ɲ 2
quệnh	kw e ɲ 6
queo	kw eo 1
quéo	kw eo 5
quèo	kw eo 2
quẹo	kw eo 6
quép	kw ɛ p 5
quét	kw ɛ t 5
quết	kw e t 5
quệt	kw e t 6
quẹt	kw ɛ t 6
quếu	kw ɛu 5
quều	kw ɛu 2
qui	kw i 1
quí	kw i 5
quì	kw i 2
quĩ	kw i 3
quỉ	kw i 4
quị	kw i 6
quin	kw i n 1
quít	kw i t 5
quíu	kw i w 5
quô	kw o 1
quọ	kw ɔ 6
quơ	kw ɤ 1
quớ	kw ɤ 5
quờ	kw ɤ 2
quở	kw ɤ 4
quoạng	kw ʷa ŋ 6
quoắt	kw ʷă t 5
quốc	kw o k͡p 5
quộc	kw o k͡p 6
quợc	kw ɤ k 6
quới	kw ɤ j 5
quôm	kw o m 1
quon	kw ɔ n 1
quôn	kw o n 1
quơn	kw ɤ n 1
quờn	kw ɤ n 2
quớt	kw ɤ t 5
quy	kw i 1
quý	kw i 5
quỳ	kw i 2
quỹ	kw i 3
quỷ	kw i 4
quỵ	kw i 6
quyên	kw iɛ n 1
quyến	kw iɛ n 5
quyền	kw iɛ n 2
quyển	kw iɛ n 4
quyện	kw iɛ n 6
quyềnh	kw iɛ ɲ 2
quyết	kw iɛ t 5
quyệt	kw iɛ t 6
quýnh	kw i ɲ 5
quỳnh	kw i ɲ 2
quỷnh	kw i ɲ 4
quýt	kw i t 5
quỵt	kw i t 6
quýu	 ' u ' u
ra	ʐ a 1
rá	ʐ a 5
rà	ʐ a 2
rã	ʐ a 3
rả	ʐ a 4
rạ	ʐ a 6
rác	ʐ a k 5
rắc	ʐ ă k 5
rặc	ʐ ă k 6
rạc	ʐ a k 6
rách	ʐ a tʃ 5
rạch	ʐ a tʃ 6
rai	ʐ a j 1
rái	ʐ a j 5
rài	ʐ a j 2
rãi	ʐ a j 3
rải	ʐ a j 4
ram	ʐ a m 1
rám	ʐ a m 5
ràm	ʐ a m 2
răm	ʐ ă m 1
rắm	ʐ ă m 5
rằm	ʐ ă m 2
rặm	ʐ ă m 6
râm	ʐ ɤ̆ m 1
rấm	ʐ ɤ̆ m 5
rầm	ʐ ɤ̆ m 2
rẫm	ʐ ɤ̆ m 3
rẩm	ʐ ɤ̆ m 4
rậm	ʐ ɤ̆ m 6
rạm	ʐ a m 6
ran	ʐ a n 1
rán	ʐ a n 5
ràn	ʐ a n 2
răn	ʐ ă n 1
rắn	ʐ ă n 5
rằn	ʐ ă n 2
rặn	ʐ ă n 6
rân	ʐ ɤ̆ n 1
rấn	ʐ ɤ̆ n 5
rần	ʐ ɤ̆ n 2
rận	ʐ ɤ̆ n 6
rãn	ʐ a n 3
rạn	ʐ a n 6
rang	ʐ a ŋ 1
ráng	ʐ a ŋ 5
ràng	ʐ a ŋ 2
răng	ʐ ă ŋ 1
rằng	ʐ ă ŋ 2
rặng	ʐ ă ŋ 6
rảng	ʐ a ŋ 4
rạng	ʐ a ŋ 6
ranh	ʐ ɛ ɲ 1
rành	ʐ ɛ ɲ 2
rãnh	ʐ ɛ ɲ 3
rảnh	ʐ ɛ ɲ 4
rao	ʐ a w 1
ráo	ʐ a w 5
rào	ʐ a w 2
rão	ʐ a w 3
rảo	ʐ a w 4
rạo	ʐ a w 6
ráp	ʐ a p 5
rắp	ʐ ă p 5
rấp	ʐ ɤ̆ p 5
rập	ʐ ɤ̆ p 6
rạp	ʐ a p 6
rát	ʐ a t 5
rắt	ʐ ă t 5
rặt	ʐ ă t 6
rất	ʐ ɤ̆ t 5
rật	ʐ ɤ̆ t 6
rạt	ʐ a t 6
rau	ʐ ă w 1
ráu	ʐ ă w 5
râu	ʐ ɤ̆ w 1
rầu	ʐ ɤ̆ w 2
rậu	ʐ ɤ̆ w 6
rảu	ʐ ă w 4
ray	ʐ ă j 1
ráy	ʐ ă j 5
rày	ʐ ă j 2
rây	ʐ ɤ̆ j 1
rấy	ʐ ɤ̆ j 5
rầy	ʐ ɤ̆ j 2
rẫy	ʐ ɤ̆ j 3
rẩy	ʐ ɤ̆ j 4
rãy	ʐ ă j 3
rảy	ʐ ă j 4
rạy	ʐ ă j 6
re	ʐ ɛ 1
ré	ʐ ɛ 5
rè	ʐ ɛ 2
rê	ʐ e 1
rế	ʐ e 5
rề	ʐ e 2
rễ	ʐ e 3
rể	ʐ e 4
rệ	ʐ e 6
rẽ	ʐ ɛ 3
rẻ	ʐ ɛ 4
réc	ʐ ɛ k 5
rếch	ʐ e tʃ 5
rệch	ʐ e tʃ 6
rem	ʐ ɛ m 1
rèm	ʐ ɛ m 2
rêm	ʐ e m 1
ren	ʐ ɛ n 1
rén	ʐ ɛ n 5
rèn	ʐ ɛ n 2
rên	ʐ e n 1
rến	ʐ e n 5
rền	ʐ e n 2
rện	ʐ e n 6
rẻn	ʐ ɛ n 4
reng	ʐ ɛ ŋ 1
rèng	ʐ ɛ ŋ 2
rẻng	ʐ ɛ ŋ 4
